experiment	item	condition	context	shortcontext	text	qType	question	participant	playlist	order	trialN	session	recordedFile	response	correct	rt	
experiment	4	4	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and found two monitors of the kind they requested, but there was just a single printer left. She remembered that Kristin still had an old printer, and wasn't in a rush to get the new one. 	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather shipped a monitor to both Danny and Kristin. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	1	1	1	1	1	experiment_1_4_4.wav	2	 	2.1582	
experiment	6	2	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them.  However, then she remembered how Lauren had never thanked her for the beautiful coat Edna had sent for Lauren's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna left a diamond and an emerald to Tito. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	2	2	1	1	1	experiment_1_6_2.wav	3	 	2.1452	
experiment	1	1	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had knitted two scarves as gifts, and had also purchased a couple of stuffed bunnies. She wrapped up a scarf and a bunny for John.  Then she remembered how rude Marion had been at Thanksgiving.	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma didn't give a scarf to Marion. Gramma only gave a bunny to Marion.  	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	3	3	1	1	1	experiment_1_1_1.wav	4	 	2.6722	
experiment	9	5	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. Every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, when he was almost done, he realized that he only had enough postage to mail out one more present, either a planner or a fountain pen. The last two customers on his list were Brent and Karen.	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob didn't mail a fountain pen to Karen, and he didn't mail a planner or a fountain pen to Brent. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	4	4	1	1	1	experiment_1_9_5.wav		 	2.7933	
experiment	10	1	Manny works at a home improvement store, and he's an expert in kitchen appliances. Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets.  Manny was going to sell each of them a toaster and a blender.  But then Wendy mentioned that she already had a nice toaster from her old apartment.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny didn't sell a toaster to Wendy.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	5	5	1	1	1	experiment_5_10_1.wav	3	 	1.2892	
experiment	12	5	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. However, there is lots of construction in his front yard and he can't plant anything there yet; half of his back yard is also taken up by construction equipment, so he has less space than he realized.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob didn't plant flowers in the back yard, and planted neither flowers nor vegetables in the front yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	5	5	2	2	1	experiment_5_12_5.wav	5	 	1.2967	
experiment	5	6	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, however, Daddy saw that only one child had done yard work like he asked, and hadn't actually finished the work at that.	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	Because of this, Daddy only paid one bill to one of the kids. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	5	5	3	3	1	experiment_5_5_6.wav	4	 	1.4369	
experiment	7	4	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, and found two tennis balls, but he could only find one frisbee.  Then, he remembered that Princess had been running a bit slower than usual lately, and, unlike Radar, she probably wouldn't want to chase both items at once.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger tossed a ball to both Radar and Princess. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	5	5	4	4	1	experiment_5_7_4.wav	7	 	1.6679	
experiment	3	2	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. While she found two snowboards, she could not find the second pair of shoes. Norman said that he might be able to borrow shoes from a friend. 	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally lent a snowboard and shoes to Tara. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)	5	5	5	5	1	experiment_5_3_2.wav		 	1.7692	
