experiment	item	condition	conditionlabel	focus	phrasing	intonation	context	text	lab	woi	design	record	session	instructions	retrial	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
practice	2	1	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y	1	1	1	1	practice_1_2_1.wav	4.2209	28-Oct-2015	23:30:21	23:30:26	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y	1	1	2	2	practice_1_1_1.wav	2.0181	28-Oct-2015	23:30:27	23:30:29	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y	1	1	3	3	practice_1_3_1.wav	1.7526	28-Oct-2015	23:30:29	23:30:31	
doff	26	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who broke the vase. But what about the window? Who broke it?	Celine broke the window.	Celine broke the window	Celine_1 broke the_2 window_3	LatinSquare	y	2	instructions.txt	y	1	1	1	1	doff_1_26_5.wav	4.1607	28-Oct-2015	23:30:31	23:30:35	
doff	15	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who imitated Peter. But what about Wendy? Who imitated her?	Paul imitated Wendy.	Paul imitated Wendy	Paul_1 imitated Wendy_2	LatinSquare	y	2	instructions.txt	y	1	1	2	2	doff_1_15_8.wav	1.6737	28-Oct-2015	23:30:36	23:30:38	
doff	28	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about what Dolly played with. But what about Jolene? What did she play with?	Jolene played with the yo-yo.	Jolene played with the yo-yo	Jolene_1 played with the_2 yoyo_3	LatinSquare	y	2	instructions.txt	y	1	1	3	3	doff_1_28_3.wav	1.5612	28-Oct-2015	23:30:38	23:30:39	
doff	30	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about what Janine wrote. But what about Diane? What did she write?	Diane wrote the introduction.	Diane wrote the introduction	Diane_1 wrote the_2 introduction_3	LatinSquare	y	2	instructions.txt	y	1	1	4	4	doff_1_30_1.wav	1.5052	28-Oct-2015	23:30:40	23:30:41	
doff	13	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Harry passed to. But what about Jessica? Who did she pass to?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y	1	1	5	5	doff_1_13_2.wav	1.6014	28-Oct-2015	23:30:42	23:30:43	
doff	32	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who sold the house when they moved. But what about the car? Who sold it?	Maria sold the car.	Maria sold the car	Maria_1 sold the_2 car_3	LatinSquare	y	2	instructions.txt	y	1	1	6	6	doff_1_32_7.wav	1.5007	28-Oct-2015	23:30:44	23:30:45	
